chill_portions,chill_hours,uf_hours,utah_units,negation_hours,flower_chill_hours,leaf_chill_hours,frost_nights_full_bloom,frost_nights_green_fruit,frost_nights_pink,heat_hours_proxy,days_tmax_gt_32,days_tmax_gt_35,days_berry_gt_42,days_berry_gt_48,max_berry_c,dli_bloom,dli_winter,vpd_fruit,dtr,bee_hours,pollen_collapse_hours,anthracnose_hours,botrytis_hours,phytophthora_hours,harvest_rain_days,harvest_rain_mm,rain_crack_events,igp_fog_events,marine_fog_events,fog_dli_loss,fog_helps,monthly_tmin_mean,monthly_tmax_mean,monthly_precip_sum,monthly_vpd_mean,monthly_rsds_mean,monthly_tmin_01,monthly_tmin_02,monthly_tmin_03,monthly_tmin_04,monthly_tmin_05,monthly_tmin_06,monthly_tmin_07,monthly_tmin_08,monthly_tmin_09,monthly_tmin_10,monthly_tmin_11,monthly_tmin_12,monthly_tmax_01,monthly_tmax_02,monthly_tmax_03,monthly_tmax_04,monthly_tmax_05,monthly_tmax_06,monthly_tmax_07,monthly_tmax_08,monthly_tmax_09,monthly_tmax_10,monthly_tmax_11,monthly_tmax_12,monthly_precip_01,monthly_precip_02,monthly_precip_03,monthly_precip_04,monthly_precip_05,monthly_precip_06,monthly_precip_07,monthly_precip_08,monthly_precip_09,monthly_precip_10,monthly_precip_11,monthly_precip_12,monthly_vpd_01,monthly_vpd_02,monthly_vpd_03,monthly_vpd_04,monthly_vpd_05,monthly_vpd_06,monthly_vpd_07,monthly_vpd_08,monthly_vpd_09,monthly_vpd_10,monthly_vpd_11,monthly_vpd_12,monthly_rsds_01,monthly_rsds_02,monthly_rsds_03,monthly_rsds_04,monthly_rsds_05,monthly_rsds_06,monthly_rsds_07,monthly_rsds_08,monthly_rsds_09,monthly_rsds_10,monthly_rsds_11,monthly_rsds_12,monthly_dtr_01,monthly_dtr_02,monthly_dtr_03,monthly_dtr_04,monthly_dtr_05,monthly_dtr_06,monthly_dtr_07,monthly_dtr_08,monthly_dtr_09,monthly_dtr_10,monthly_dtr_11,monthly_dtr_12,system_label,chill_relevance,soil_ph_weight,par_fraction,uv_fraction,bloom_advance_days,apis_ok,site_id,lat,lon,source
0.0,963.0,964.0,-182.0,933.0,770.4000000000001,1348.1999999999998,0.0,0.0,0.0,3158.320000000001,123.0,123.0,123.0,61.0,50.532000000000004,39.55802857142856,28.458113245033108,1.4185311847725315,29.444849315068492,3854.0,703.0,0.0,0.0,0.0,0.0,5.271190476190476,0.0,0.0,0.0,0.0,0.0,5.023333333333333,34.50666666666667,43.199999999999996,0.5436561575475988,17.482499999999998,-6.6,-5.339999999999999,-1.68,2.88,10.25,17.54,18.73,18.37,12.74,1.19,-2.57,-5.23,28.32,30.91,34.82,35.98,38.77,39.74,37.81,37.4,35.7,34.64,30.85,29.14,2.4,2.71,2.69,2.2,2.75,6.48,6.21,6.72,4.85,2.0,1.75,2.44,0.26934345224386774,0.30422820111453786,0.46271451742604247,0.6536381215501442,0.9897061758172072,0.9121191738406357,0.7595050668049911,0.6499374821331019,0.502211225541318,0.40525903682924036,0.34489926801521237,0.2703121692548873,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,34.92,36.25,36.5,33.099999999999994,28.520000000000003,22.200000000000003,19.080000000000002,19.029999999999998,22.96,33.45,33.42,34.370000000000005,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-alachua,29.65,-82.33,nasa_power_climatology
0.0,864.0,864.0,-226.5,912.0,691.2,1209.6,0.0,0.0,5.25,3455.4399999999996,123.0,123.0,123.0,92.0,50.748,39.55802857142856,28.458113245033108,1.3847210010813518,29.642136986301374,3816.0,815.0,0.0,0.0,0.0,0.0,5.301333333333336,0.0,0.0,0.0,0.0,0.0,4.848333333333334,34.52083333333333,42.87,0.5450031988219534,17.482499999999998,-6.73,-5.65,-2.74,2.42,10.29,16.98,19.24,18.79,12.81,0.9,-2.22,-5.91,27.64,29.91,35.33,35.27,39.54,39.86,39.07,37.65,36.5,34.64,30.469999999999995,28.37,2.34,2.8,2.6,2.32,3.04,6.39,5.47,5.88,5.12,2.62,1.78,2.51,0.25533375846230616,0.28193619644471374,0.44690312897403583,0.6241439961809961,0.9937544853198927,0.8986190064465825,0.811572951356787,0.6937461021434865,0.5533112766957776,0.4066623440917772,0.32893135555925057,0.24512378418783407,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,34.370000000000005,35.56,38.07,32.85,29.25,22.88,19.830000000000002,18.86,23.689999999999998,33.74,32.69,34.28,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-waldo,29.79,-82.17,nasa_power_climatology
0.0,928.0,931.0,-227.5,946.0,824.8888888888888,1031.111111111111,0.0,0.0,0.0,3269.9199999999996,123.0,123.0,123.0,92.0,50.532000000000004,39.55802857142856,28.458113245033108,1.5232173409847536,29.300027397260276,3865.0,853.0,0.0,0.0,0.0,0.0,5.085761904761906,0.0,0.0,0.0,0.0,0.0,5.449166666666667,34.785833333333336,42.52000000000001,0.5637408046064852,17.482499999999998,-6.45,-5.42,-1.16,3.2,10.97,17.98,19.48,19.38,13.28,1.22,-1.86,-5.23,28.6,30.580000000000002,36.11,35.85,38.66,39.74,38.61,37.61,36.45,34.63,31.29,29.3,2.24,2.65,2.57,2.14,3.1,6.37,5.75,6.08,5.15,2.46,1.74,2.27,0.2825882480216306,0.3106567856443587,0.5145838638772793,0.6806672170803637,1.0085247340611585,0.9261956870502152,0.7907713182646258,0.6881854086378248,0.5335784571535587,0.40448695155642417,0.35009744175841867,0.27455354217196337,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,35.050000000000004,36.0,37.269999999999996,32.65,27.689999999999998,21.76,19.13,18.23,23.17,33.410000000000004,33.15,34.53,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-hawthorne,29.59,-82.08,nasa_power_climatology
0.0,928.0,931.0,-227.5,946.0,742.4000000000001,1299.1999999999998,0.0,0.0,0.0,3269.9199999999996,123.0,123.0,123.0,92.0,50.532000000000004,39.55802857142856,28.458113245033108,1.5232173409847536,29.300027397260276,3865.0,853.0,0.0,0.0,0.0,0.0,5.085761904761906,0.0,0.0,0.0,0.0,0.0,5.449166666666667,34.785833333333336,42.52000000000001,0.5637408046064852,17.482499999999998,-6.45,-5.42,-1.16,3.2,10.97,17.98,19.48,19.38,13.28,1.22,-1.86,-5.23,28.6,30.580000000000002,36.11,35.85,38.66,39.74,38.61,37.61,36.45,34.63,31.29,29.3,2.24,2.65,2.57,2.14,3.1,6.37,5.75,6.08,5.15,2.46,1.74,2.27,0.2825882480216306,0.3106567856443587,0.5145838638772793,0.6806672170803637,1.0085247340611585,0.9261956870502152,0.7907713182646258,0.6881854086378248,0.5335784571535587,0.40448695155642417,0.35009744175841867,0.27455354217196337,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,35.050000000000004,36.0,37.269999999999996,32.65,27.689999999999998,21.76,19.13,18.23,23.17,33.410000000000004,33.15,34.53,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-melrose,29.71,-82.05,nasa_power_climatology
0.0,929.0,931.0,-227.5,946.0,743.2,1300.6,0.0,0.0,0.0,3269.9199999999996,123.0,123.0,123.0,92.0,50.532000000000004,39.55802857142856,28.458113245033108,1.5232173409847536,29.300027397260276,3865.0,853.0,0.0,0.0,0.0,0.0,5.085761904761906,0.0,0.0,0.0,0.0,0.0,5.449166666666667,34.785833333333336,42.52000000000001,0.5637408046064852,17.482499999999998,-6.45,-5.42,-1.16,3.2,10.97,17.98,19.48,19.38,13.28,1.22,-1.86,-5.23,28.6,30.580000000000002,36.11,35.85,38.66,39.74,38.61,37.61,36.45,34.63,31.29,29.3,2.24,2.65,2.57,2.14,3.1,6.37,5.75,6.08,5.15,2.46,1.74,2.27,0.2825882480216306,0.3106567856443587,0.5145838638772793,0.6806672170803637,1.0085247340611585,0.9261956870502152,0.7907713182646258,0.6881854086378248,0.5335784571535587,0.40448695155642417,0.35009744175841867,0.27455354217196337,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,35.050000000000004,36.0,37.269999999999996,32.65,27.689999999999998,21.76,19.13,18.23,23.17,33.410000000000004,33.15,34.53,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-earleton,29.72,-82.1,nasa_power_climatology
0.0,928.0,931.0,-227.5,946.0,824.8888888888888,1031.111111111111,0.0,0.0,0.0,3269.9199999999996,123.0,123.0,123.0,92.0,50.532000000000004,38.930457142857136,27.582270198675488,1.5232173409847536,29.300027397260276,3865.0,853.0,0.0,0.0,0.0,0.0,5.085761904761906,0.0,0.0,0.0,0.0,0.0,5.449166666666667,34.785833333333336,42.52000000000001,0.5637408046064852,17.159166666666664,-6.45,-5.42,-1.16,3.2,10.97,17.98,19.48,19.38,13.28,1.22,-1.86,-5.23,28.6,30.580000000000002,36.11,35.85,38.66,39.74,38.61,37.61,36.45,34.63,31.29,29.3,2.24,2.65,2.57,2.14,3.1,6.37,5.75,6.08,5.15,2.46,1.74,2.27,0.2825882480216306,0.3106567856443587,0.5145838638772793,0.6806672170803637,1.0085247340611585,0.9261956870502152,0.7907713182646258,0.6881854086378248,0.5335784571535587,0.40448695155642417,0.35009744175841867,0.27455354217196337,11.61,13.91,18.22,21.86,23.18,21.05,20.83,19.55,17.469999999999995,15.32,12.38,10.53,35.050000000000004,36.0,37.269999999999996,32.65,27.689999999999998,21.76,19.13,18.23,23.17,33.410000000000004,33.15,34.53,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-interlachen,29.62,-81.89,nasa_power_climatology
0.0,928.0,931.0,-226.5,946.0,742.4000000000001,1299.1999999999998,0.0,0.0,0.0,3269.9199999999996,123.0,123.0,123.0,92.0,50.532000000000004,38.930457142857136,27.582270198675488,1.5232173409847536,29.300027397260276,3865.0,853.0,0.0,0.0,0.0,0.0,5.085761904761906,0.0,0.0,0.0,0.0,0.0,5.449166666666667,34.785833333333336,42.52000000000001,0.5637408046064852,17.159166666666664,-6.45,-5.42,-1.16,3.2,10.97,17.98,19.48,19.38,13.28,1.22,-1.86,-5.23,28.6,30.580000000000002,36.11,35.85,38.66,39.74,38.61,37.61,36.45,34.63,31.29,29.3,2.24,2.65,2.57,2.14,3.1,6.37,5.75,6.08,5.15,2.46,1.74,2.27,0.2825882480216306,0.3106567856443587,0.5145838638772793,0.6806672170803637,1.0085247340611585,0.9261956870502152,0.7907713182646258,0.6881854086378248,0.5335784571535587,0.40448695155642417,0.35009744175841867,0.27455354217196337,11.61,13.91,18.22,21.86,23.18,21.05,20.83,19.55,17.469999999999995,15.32,12.38,10.53,35.050000000000004,36.0,37.269999999999996,32.65,27.689999999999998,21.76,19.13,18.23,23.17,33.410000000000004,33.15,34.53,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-palatka,29.65,-81.66,nasa_power_climatology
0.0,927.0,930.0,-228.5,946.0,741.6,1297.8,0.0,0.0,0.0,3269.9199999999996,123.0,123.0,123.0,92.0,50.532000000000004,39.55802857142856,28.458113245033108,1.5232173409847536,29.300027397260276,3864.0,853.0,0.0,0.0,0.0,0.0,5.085761904761906,0.0,0.0,0.0,0.0,0.0,5.449166666666667,34.785833333333336,42.52000000000001,0.5637408046064852,17.482499999999998,-6.45,-5.42,-1.16,3.2,10.97,17.98,19.48,19.38,13.28,1.22,-1.86,-5.23,28.6,30.580000000000002,36.11,35.85,38.66,39.74,38.61,37.61,36.45,34.63,31.29,29.3,2.24,2.65,2.57,2.14,3.1,6.37,5.75,6.08,5.15,2.46,1.74,2.27,0.2825882480216306,0.3106567856443587,0.5145838638772793,0.6806672170803637,1.0085247340611585,0.9261956870502152,0.7907713182646258,0.6881854086378248,0.5335784571535587,0.40448695155642417,0.35009744175841867,0.27455354217196337,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,35.050000000000004,36.0,37.269999999999996,32.65,27.689999999999998,21.76,19.13,18.23,23.17,33.410000000000004,33.15,34.53,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-citra,29.41,-82.17,nasa_power_climatology
0.0,981.0,984.0,-206.0,1001.0,858.375,1103.625,0.0,0.0,0.0,2845.5600000000004,123.0,123.0,123.0,30.0,48.426,45.33037142857144,28.458113245033108,1.9460530458911895,28.384767123287666,3965.0,712.0,0.0,0.0,0.0,0.0,4.904516129032258,0.0,0.0,0.0,0.0,0.0,6.103333333333332,34.525,41.309999999999995,0.5822542524718872,17.482499999999998,-5.97,-5.15,-0.4,4.06,11.82,18.87,19.59,19.96,14.4,1.8,-0.76,-4.98,29.15,30.71,35.94,36.17,38.1,38.57,38.3,36.19,34.84,34.38,31.83,30.12,2.06,2.31,2.43,1.9500000000000002,3.0,6.54,5.94,6.13,5.12,2.26,1.59,1.98,0.3136982519369943,0.3394133570570909,0.566153728668042,0.7406408916232989,1.0580476708276239,0.9266034195574142,0.7718398425086945,0.6510943455753629,0.5063234201393629,0.4165925992691785,0.3904134128050643,0.30623008969451954,12.01,14.3,18.54,22.1,23.78,21.48,20.47,19.33,17.92,15.94,13.04,10.88,35.12,35.86,36.339999999999996,32.11,26.28,19.7,18.709999999999997,16.229999999999997,20.440000000000005,32.580000000000005,32.589999999999996,35.1,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-ocala,29.19,-82.14,nasa_power_climatology
0.0,980.0,982.0,-208.5,1002.0,857.5,1102.5,0.0,0.0,0.0,2845.5600000000004,123.0,123.0,123.0,30.0,48.426,46.15015714285713,29.311611258278155,1.9460530458911895,28.384767123287666,3966.0,712.0,0.0,0.0,0.0,0.0,4.904516129032258,0.0,0.0,0.0,0.0,0.0,6.103333333333332,34.525,41.309999999999995,0.5822542524718872,17.85333333333333,-5.97,-5.15,-0.4,4.06,11.82,18.87,19.59,19.96,14.4,1.8,-0.76,-4.98,29.15,30.71,35.94,36.17,38.1,38.57,38.3,36.19,34.84,34.38,31.83,30.12,2.06,2.31,2.43,1.9500000000000002,3.0,6.54,5.94,6.13,5.12,2.26,1.59,1.98,0.3136982519369943,0.3394133570570909,0.566153728668042,0.7406408916232989,1.0580476708276239,0.9266034195574142,0.7718398425086945,0.6510943455753629,0.5063234201393629,0.4165925992691785,0.3904134128050643,0.30623008969451954,12.35,14.83,18.99,22.55,24.06,21.79,20.63,19.69,18.26,16.42,13.359999999999998,11.31,35.12,35.86,36.339999999999996,32.11,26.28,19.7,18.709999999999997,16.229999999999997,20.440000000000005,32.580000000000005,32.589999999999996,35.1,pine_bark|open|none|deciduous,1.0,0.35,1.0,1.0,0.0,1.0,us-fl-south-ocala,28.95,-82.12,nasa_power_climatology
