site_id,name,country,region,admin,lat,lon,cultivar_class,cultivar,media,structure,cover,habit,outcome,source,geocode_precision,notes
us-fl-alachua,Alachua / Windsor belt,US,US-SE,Florida,29.65,-82.33,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,UF/IFAS + NASS blueberry counties,town,North-central deciduous core.
us-fl-waldo,Waldo,US,US-SE,Florida,29.79,-82.17,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,UF/IFAS production belt,town,
us-fl-hawthorne,Hawthorne,US,US-SE,Florida,29.59,-82.08,low_chill_shb,jewel,pine_bark,open,none,deciduous,commercial_success,UF/IFAS production belt,town,
us-fl-melrose,Melrose,US,US-SE,Florida,29.71,-82.05,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,UF/IFAS production belt,town,
us-fl-earleton,Earleton,US,US-SE,Florida,29.72,-82.1,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,UF/IFAS production belt,town,
us-fl-interlachen,Interlachen,US,US-SE,Florida,29.62,-81.89,low_chill_shb,jewel,pine_bark,open,none,deciduous,commercial_success,Putnam County,town,
us-fl-palatka,Palatka / Putnam Hall,US,US-SE,Florida,29.65,-81.66,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,FAWN Putnam Hall,town,
us-fl-citra,Citra PSREU,US,US-SE,Florida,29.41,-82.17,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,UF PSREU,farm,Research plus commercial belt.
us-fl-ocala,Ocala north,US,US-SE,Florida,29.19,-82.14,high_chill_shb,star,pine_bark,open,none,deciduous,commercial_success,UF Star range,town,
us-fl-south-ocala,South of Ocala,US,US-SE,Florida,28.95,-82.12,high_chill_shb,star,pine_bark,open,none,deciduous,known_failure,UF: Star fails south of Ocala,town,
us-fl-floral-city,Floral City,US,US-SE,Florida,28.75,-82.3,low_chill_shb,snowchaser,pine_bark,open,none,deciduous,commercial_caution,Citrus County early SHB,town,Freeze magnet.
us-fl-brooksville,Brooksville,US,US-SE,Florida,28.56,-82.39,evergreen_zero_chill,snowchaser_evergreen,pine_bark,open,none,evergreen,commercial_success,Hernando evergreen,town,
us-fl-plant-city,Plant City,US,US-SE,Florida,28.02,-82.11,evergreen_zero_chill,avanti,pine_bark,open,none,evergreen,commercial_success,Hillsborough,town,
us-fl-polk,Polk / Lake Alfred,US,US-SE,Florida,28.09,-81.73,evergreen_zero_chill,avanti,pine_bark,open,none,evergreen,commercial_success,CREC / FAWN Lake Alfred,town,
us-fl-haines-city,Haines City,US,US-SE,Florida,28.11,-81.62,evergreen_zero_chill,kestrel,pine_bark,open,none,evergreen,commercial_success,Polk,town,
us-fl-lake-wales,Lake Wales,US,US-SE,Florida,27.9,-81.59,evergreen_zero_chill,avanti,pine_bark,open,none,evergreen,commercial_success,Polk,town,
us-fl-sebring,Sebring / Highlands,US,US-SE,Florida,27.5,-81.44,evergreen_zero_chill,snowchaser_evergreen,pine_bark,open,none,evergreen,commercial_success,FAWN Sebring,town,
us-fl-lake-placid,Lake Placid,US,US-SE,Florida,27.29,-81.36,evergreen_zero_chill,kestrel,pine_bark,open,none,evergreen,commercial_success,Highlands,town,
us-fl-wauchula,Wauchula,US,US-SE,Florida,27.55,-81.81,evergreen_zero_chill,avanti,pine_bark,open,none,evergreen,commercial_success,Hardee,town,
us-fl-avon-park,Avon Park,US,US-SE,Florida,27.6,-81.51,evergreen_zero_chill,snowchaser_evergreen,pine_bark,open,none,evergreen,commercial_success,Highlands,town,
us-fl-clermont,Clermont,US,US-SE,Florida,28.55,-81.76,low_chill_shb,snowchaser,pine_bark,open,none,deciduous,commercial_caution,Lake County,town,Early bloom freeze.
us-fl-umatilla,Umatilla,US,US-SE,Florida,28.93,-81.67,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,Lake/Marion edge,town,
us-fl-pierson,Pierson,US,US-SE,Florida,29.24,-81.46,low_chill_shb,emerald,pine_bark,open,none,deciduous,commercial_success,Volusia,town,
us-fl-hastings,Hastings,US,US-SE,Florida,29.72,-81.51,low_chill_shb,star,pine_bark,open,none,deciduous,commercial_caution,St Johns,town,"Potato/hort belt, limited blueberry."
us-fl-live-oak,Live Oak,US,US-SE,Florida,30.29,-82.98,high_chill_shb,star,pine_bark,open,none,deciduous,commercial_success,Suwannee,town,
us-ga-alma,Alma,US,US-SE,Georgia,31.54,-82.46,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,"Bacon County, US rabbiteye core",town,
us-ga-baxley,Baxley,US,US-SE,Georgia,31.78,-82.35,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Appling,town,
us-ga-blackshear,Blackshear,US,US-SE,Georgia,31.3,-82.24,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Pierce,town,
us-ga-waycross,Waycross,US,US-SE,Georgia,31.21,-82.35,rabbiteye,climax,open_soil,open,none,deciduous,commercial_success,Ware,town,
us-ga-homerville,Homerville,US,US-SE,Georgia,31.04,-82.75,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Clinch,town,
us-ga-douglas,Douglas,US,US-SE,Georgia,31.51,-82.85,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Coffee,town,
us-ga-pearson,Pearson,US,US-SE,Georgia,31.3,-82.85,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Atkinson,town,
us-ga-nicholls,Nicholls,US,US-SE,Georgia,31.52,-82.64,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Coffee,town,
us-ga-ocilla,Ocilla,US,US-SE,Georgia,31.59,-83.25,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Irwin,town,
us-ga-fitzgerald,Fitzgerald,US,US-SE,Georgia,31.71,-83.25,rabbiteye,ochlockonee,open_soil,open,none,deciduous,commercial_success,Ben Hill,town,
us-ga-tifton,Tifton,US,US-SE,Georgia,31.45,-83.51,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,UGA Tifton,town,
us-ga-nashville,Nashville GA,US,US-SE,Georgia,31.21,-83.25,rabbiteye,climax,open_soil,open,none,deciduous,commercial_success,Berrien,town,
us-ga-lakeland,Lakeland GA,US,US-SE,Georgia,31.04,-83.07,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Lanier,town,
us-ga-valdosta,Valdosta,US,US-SE,Georgia,30.83,-83.28,high_chill_shb,rebel,open_soil,open,none,deciduous,commercial_success,Lowndes SHB,town,
us-ga-statesboro,Statesboro,US,US-SE,Georgia,32.45,-81.78,rabbiteye,tifblue,open_soil,open,none,deciduous,commercial_success,Bulloch,town,
us-ga-vidalia,Vidalia,US,US-SE,Georgia,32.22,-82.41,rabbiteye,brightwell,open_soil,open,none,deciduous,commercial_success,Toombs,town,
